dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
chain,R1-6,LAMBDA_GUIDE,0,False,1,0.12,1.3953593046204136,1.3674421335423175,0.10491591279745845,0.10250746424696161,0.2089078394813462
chain,R1-6,LAMBDA_GUIDE,0p05,False,1,0.1,1.3666276664688926,1.3495021331751145,0.27721360125840466,0.27583429742352666,0.20899553436709353
chain,R1-6,LAMBDA_GUIDE,0p1,False,1,0.08,1.372157480045361,1.3510305509690175,0.1948971383999489,0.19312402478103352,0.20994364315910063
chain,R1-6,LAMBDA_GUIDE,0p2,False,1,0.08,1.3804551298372092,1.3545671380686823,0.35477484180454066,0.35279975200573194,0.21023020843732956
chain,R1-6,LAMBDA_GUIDE,0p4,False,1,0.08666666666666667,1.3812534646890837,1.357444369124152,0.35403079742630544,0.3522133376467442,0.20886749492260342
chain,R1-6,LAMBDA_GUIDE,0p05,False,3,0.15333333333333332,1.5749938841404647,1.5081624671097857,-0.04482949484409953,-0.050644517817839685,0.2313067550138789
chain,R1-6,LAMBDA_GUIDE,0p1,False,3,0.11333333333333333,1.5494389410301592,1.5048814061740434,0.08793969258990582,0.08408261308747166,0.23382707863354937
chain,R1-6,LAMBDA_GUIDE,0p2,False,3,0.16,1.569889956020738,1.5091903695077125,-0.04581710448856917,-0.05109823059120494,0.23085752488208366
chain,R1-6,LAMBDA_GUIDE,0p4,False,3,0.16666666666666666,1.5762177123150447,1.5117865929587977,-0.21979709056012917,-0.22513797329681795,0.2298697665812918
chain,R1-6,LAMBDA_GUIDE,0,False,3,0.18666666666666668,1.5826929899380715,1.5104876070278594,-0.2617778765543465,-0.2676336102167385,0.2268826979931494
chain,R1-6,LAMBDA_GUIDE,0p05,False,5,0.15333333333333332,1.5139237260696181,1.4677584161034587,-0.13025404124595097,-0.13420968364005487,0.20405508669467876
chain,R1-6,LAMBDA_GUIDE,0p1,False,5,0.13333333333333333,1.504799054627377,1.4612206463625614,0.17693133348974635,0.17324740320848483,0.20445464078860204
chain,R1-6,LAMBDA_GUIDE,0p2,False,5,0.14666666666666667,1.5160827992108847,1.4609940527546494,-0.1719080072517108,-0.1765663982677859,0.20264128246861604
chain,R1-6,LAMBDA_GUIDE,0p4,False,5,0.15333333333333332,1.5106147900778841,1.462250846057115,-0.33605877453994354,-0.33979490477066493,0.2043291145415281
chain,R1-6,LAMBDA_GUIDE,0,False,5,0.12,1.5027507261184323,1.4697872088350965,0.04393820411381712,0.041068674069245754,0.20501055490898087
chain,R1-6,LAMBDA_GUIDE,0p05,False,7,0.02,1.2172873594663896,1.2068862864388545,0.6070828817844861,0.606509796467803,0.1979973512149746
chain,R1-6,LAMBDA_GUIDE,0p1,False,7,0.02666666666666667,1.2183844442939578,1.2081695850457346,0.6070122078505423,0.6064493117686846,0.19716018548806777
chain,R1-6,LAMBDA_GUIDE,0p2,False,7,0.013333333333333334,1.2227167414670188,1.2156385152554448,0.6251058688306471,0.6247296460326786,0.1972766265668554
chain,R1-6,LAMBDA_GUIDE,0p4,False,7,0.04,1.227275681965166,1.2160147804353163,0.5841682215590064,0.5835209239154849,0.19681908302433138
chain,R1-6,LAMBDA_GUIDE,0,False,7,0.04,1.2339012981039232,1.2203518263061717,0.5330688740890797,0.5322224790425246,0.19661762346013212
chain,R1-6,LAMBDA_GUIDE,0p05,False,42,0.04666666666666667,1.2387215661593376,1.2261571741999238,0.5552880270789964,0.5545296973348958,0.1966446110139257
chain,R1-6,LAMBDA_GUIDE,0p1,False,42,0.0,1.2267357596667658,1.2208663292800952,0.6634697152146323,0.6631830696028913,0.19735297535034368
chain,R1-6,LAMBDA_GUIDE,0p2,False,42,0.006666666666666667,1.2225065011650362,1.2119226910796002,0.6221261763836622,0.6215600862014588,0.1976986891257537
chain,R1-6,LAMBDA_GUIDE,0p4,False,42,0.04,1.224638871230203,1.213498687339988,0.5570519660594863,0.556381547511856,0.1976418507114444
chain,R1-6,LAMBDA_GUIDE,0,False,42,0.04666666666666667,1.2355997765541964,1.2213811292528334,0.40191193210679077,0.400871716813199,0.19975154457847236
default,R1-6,LAMBDA_GUIDE,0p05,False,1,0.12,1.2448435494549113,1.2141737965602946,0.12791525529563147,0.12528343746340923,0.2041740978229597
default,R1-6,LAMBDA_GUIDE,0p1,False,1,0.09333333333333334,1.2468617078761008,1.216184756563417,0.214164962637045,0.21161089754523044,0.20425898412842616
default,R1-6,LAMBDA_GUIDE,0p2,False,1,0.11333333333333333,1.2485678738629646,1.2158065615524702,0.17084252295176575,0.1680674751763448,0.20481380729628715
default,R1-6,LAMBDA_GUIDE,0p4,False,1,0.1,1.2510864395384067,1.215150304157904,0.17104369906815828,0.1679997991939805,0.20361943138510316
default,R1-6,LAMBDA_GUIDE,0,False,1,0.14666666666666667,1.2527430177494727,1.216946034317908,-0.04862333142885171,-0.051737297863617436,0.20325289770092103
default,R1-6,LAMBDA_GUIDE,0p05,False,3,0.12,1.3704329105967477,1.3045203538415935,0.10989515563385666,0.10421286118732231,0.22721274338924188
default,R1-6,LAMBDA_GUIDE,0p1,False,3,0.15333333333333332,1.3729752744380141,1.313781867921211,-0.111257581846179,-0.11635292663792261,0.22697287670313193
default,R1-6,LAMBDA_GUIDE,0p2,False,3,0.13333333333333333,1.3810215675319992,1.3238090057399197,-0.06887194451916996,-0.07383599834013112,0.22708763322757833
default,R1-6,LAMBDA_GUIDE,0p4,False,3,0.16,1.3780857622852771,1.3077962256758704,-0.15447521240201553,-0.16045310307234004,0.22387640246567306
default,R1-6,LAMBDA_GUIDE,0,False,3,0.16666666666666666,1.3809889933332746,1.3130117083110668,-0.3212836153050731,-0.3265897655141712,0.22530742467518028
default,R1-6,LAMBDA_GUIDE,0p05,False,5,0.15333333333333332,1.3138995365844408,1.2684269656903229,-0.15502827687337606,-0.15889620078420283,0.19920387311718288
default,R1-6,LAMBDA_GUIDE,0p1,False,5,0.14,1.2815064213698664,1.2461950942867603,-0.19322090598789146,-0.19618363979292588,0.20182708801389262
default,R1-6,LAMBDA_GUIDE,0p2,False,5,0.16666666666666666,1.2799671271546684,1.242307692513974,-0.19202786125971857,-0.19518900344031118,0.19972033041349818
default,R1-6,LAMBDA_GUIDE,0p4,False,5,0.17333333333333334,1.2879979507605601,1.2464650272751143,-0.2350620678087293,-0.23848106538554145,0.19955133900652297
default,R1-6,LAMBDA_GUIDE,0,False,5,0.16666666666666666,1.3113053591727808,1.2655515134881021,-0.19734543138542615,-0.20117715706303718,0.19885883866487894
default,R1-6,LAMBDA_GUIDE,0p05,False,7,0.04666666666666667,1.0976307286952334,1.0838799648692026,0.5469886286073652,0.5461476777474717,0.1951472571537421
default,R1-6,LAMBDA_GUIDE,0p1,False,7,0.02666666666666667,1.0958531714866488,1.0834954998614064,0.6521103897143926,0.6514905418098663,0.1956737695466647
default,R1-6,LAMBDA_GUIDE,0p2,False,7,0.04666666666666667,1.0953623761142477,1.0806164751397764,0.54757325679719,0.5466722267076609,0.19444995158296116
default,R1-6,LAMBDA_GUIDE,0p4,False,7,0.04,1.086689967350167,1.0732205046014807,0.598123296365826,0.5973683410646387,0.1955215398958975
default,R1-6,LAMBDA_GUIDE,0,False,7,0.05333333333333334,1.0946557191033401,1.080603918428873,0.5187607781457579,0.5178645447160906,0.19542839361867262
default,R1-6,LAMBDA_GUIDE,0p05,False,42,0.03333333333333333,1.0908960231978189,1.0838303148299788,0.5898882732586673,0.5894863481405463,0.20063417535135847
default,R1-6,LAMBDA_GUIDE,0p1,False,42,0.03333333333333333,1.0912293433601832,1.081464329224702,0.6114767212389112,0.6109432599924405,0.20034779905019548
default,R1-6,LAMBDA_GUIDE,0p2,False,42,0.02,1.0928250087525224,1.085007674952388,0.611314528676683,0.6108873780318067,0.20008910536492094
default,R1-6,LAMBDA_GUIDE,0p4,False,42,0.04666666666666667,1.0975230902119684,1.085537755726931,0.539520917331125,0.5387795161180142,0.19942898420563013
default,R1-6,LAMBDA_GUIDE,0,False,42,0.04666666666666667,1.0965975035737094,1.0863590532639873,0.5657407495347757,0.5651333348420278,0.20036829671505646
wide,R1-6,LAMBDA_GUIDE,0p05,False,1,0.006666666666666667,0.41046989547299684,0.4105374434401106,0.7212665735267558,0.7212665735267558,0.11670954322626599
wide,R1-6,LAMBDA_GUIDE,0p1,False,1,0.0,0.39986450027716486,0.3991528468994851,0.7317092563551201,0.7317092563551201,0.1167906888000125
wide,R1-6,LAMBDA_GUIDE,0p2,False,1,0.0,0.3970387811803248,0.3972879778544236,0.7326724957369696,0.7326724957369696,0.11673894168684337
wide,R1-6,LAMBDA_GUIDE,0p4,False,1,0.006666666666666667,0.40118081108142195,0.4052742921228134,0.6955197711556922,0.6955197711556922,0.11686719251704748
wide,R1-6,LAMBDA_GUIDE,0,False,1,0.02,0.41370271796892755,0.4203942468543135,0.6941451342993362,0.6941451342993362,0.11643680457762985
wide,R1-6,LAMBDA_GUIDE,0p05,False,3,0.04666666666666667,0.4758015635211833,0.46823157350895306,0.6090461737174709,0.6090461737174709,0.13365749351738537
